num_Interation, epoch, Time_train, Train_Peak_RAM, Time_predict, Peak_Time_prediction, thres, tn, fp, fn, tp, acc, pre, Recall, spec, F1score, mcc, auc
16,200,15.0256558,31.159838,1.8670504,31.159838,0.55764251,41,7,5,28,0.851851852,0.8,0.848484848,0.854166667,0.823529412,0.696954839,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.559984402,41,7,5,28,0.851851852,0.8,0.848484848,0.854166667,0.823529412,0.696954839,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.562326295,41,7,5,28,0.851851852,0.8,0.848484848,0.854166667,0.823529412,0.696954839,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.576377648,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.57871954,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.581061432,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.583403325,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.585745217,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.588087109,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.590429001,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.592770893,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.595112786,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.597454678,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.59979657,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.602138462,42,6,6,27,0.851851852,0.818181818,0.818181818,0.875,0.818181818,0.693181818,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.618531708,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.6208736,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.623215492,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.625557385,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.627899277,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.630241169,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
16,200,15.0256558,31.159838,1.8670504,31.159838,0.632583061,43,5,7,26,0.851851852,0.838709677,0.787878788,0.895833333,0.8125,0.691170222,0.931186869
